id,tweet_label,tweet,entity,ent_label
1990283756,0,drinking a McDonalds coffee and not understanding why someone would hurt me for no apparent reason. ,mcdonalds,2
1964951623,0,"got a sniffle, got the kids and hubby just left to work in Sydney for the weekend, boo hoo ",sydney,2
1755405128,0,Allergies sucks sometimes. Theres a super adorable 9 month old beagle named Sydney hanging out with my roomie and his friend. Can't pet. ,sydney,4
1963812485,0,I scratched my iPod ,ipod,2
1882993898,0,@TerrenceJ106. U should have told her and that voice box gone b bad 2 if ur ass keep on smokin them cancer sticks  lol,cancer,0
1981120647,0,@Egyptsaidso u were right about lastnites game  damn i still love Lebron!lol,lebron,4
1558591211,0,My carelessness led to wiping out all contacts on my iPhone ,iphone,2
1965391855,4,@SilMuri yeah that'd be awesome... You're gonna be the new Oprah! Freakin' yeah  *ninja-rolls over to Sil to eat chocolate*,sil,4
1965391855,4,@SilMuri yeah that'd be awesome... You're gonna be the new Oprah! Freakin' yeah  *ninja-rolls over to Sil to eat chocolate*,oprah,4
2000270889,4,"@McChelsea get a glass of wine, a nice book, and just chillax out there.  oh wait, it's seattle, i'll probably rain. hah ",seattle,2
2046866302,4,I L&lt,taylor_swift,4
2008626683,4,Gran Turismo on PSP! FF13 to be on PC! What more can I ask for?! Gran Turismo 5 on PC perhaps? ,psp,2
1548496948,4,Watching Oprah that I had taped from earlier! It's was about Twitter today! ,oprah,2
1548496948,4,Watching Oprah that I had taped from earlier! It's was about Twitter today! ,twitter,2
1751574773,4,@taylorswift13 Taylor Swift I think you're so pretty it makes my heart melt everytime I see your face. ,taylor_swift,4
1685303578,4,"@nick_carter Don't forget my dear, you'll always be in my mind and my heart ok?  BIG kiss and special affection from me (Brazil)! I ? u!",brazil,2
2050433216,4,"@EP31 we have soccer, too~! The New England Revolution, aka the Revs!  TAYLOR TWELLMAN FTW",england,2
2069563222,0,I keep drinking coffee wishing it was Starbucks ,starbucks,4
2068028521,0,exhausted and I have a brutal headache ,headache,0
2009988523,4,"@Michael_Cera starbucks is the best. i work there, i should know  what're you getting there?",starbucks,4
1564688640,0,Feels sad my best friend Skippy is not going to be in London  Thanks for ruining that T! ,london,2
1685337831,0,I wish Fallout 3 was on the PSP...but only because that's all I have with me right now ,psp,2
1977088625,0,"magic vs lakers... I kno my baby @erik_jamaal is happy, but im so not interested in this match up. idk who I will root 4 ",lakers,2
2052051192,0,@Shari58 Still got the fever ,fever,0
1967985329,4,And the west was won! Yeah lakers! ,lakers,4
1467971357,4,Just saw Sunshine Cleaning. I love Amy Adams ,amy_adams,4
2050828881,4,"@m3L1nd4 not in youtube,, but in dvd.. about the story it's mix between meteor garden and hana yori dango.. you must watch it.. ",youtube,2
1559513777,0,I can't find my Ipod   Just tore the living room apart and never found it.,ipod,2
2003692932,0,"@mattress i had my ipod to take notes, i just have such a short attention span I forgot by the time my haircut was done. ",ipod,2
1972285421,0,wow... all i wanted to do is see taylor swift but of course shes sold out! ,taylor_swift,4
1881753278,0,In Mcdonalds....... Wanted To See Star Trek But All Late Times ,mcdonalds,2
1824687073,0,Cancer is such a deadly horrible disease... We need to unite and fight to cure cancer for all... To many people lose the fight... So sad ,cancer,0
1975783415,0,Sitting at McDonalds while JC &amp,mcdonalds,2
1997997283,0,No more orange drink at Mcdonalds  http://tinyurl.com/l2m3hb,mcdonalds,2
2062325265,0,I want to move to London ,london,4
2053704763,4,@feliciaday Hey can you tell me if we can use Xbox 360 to use Twitter as Tickers/popups? That would be Sweet! ,twitter,2
2053704763,4,@feliciaday Hey can you tell me if we can use Xbox 360 to use Twitter as Tickers/popups? That would be Sweet! ,xbox,2
1978906868,4,Youtube and Facebook ftw! ,facebook,4
1978906868,4,Youtube and Facebook ftw! ,youtube,4
1823319180,4,Red Devils champion of England for the 3rd time in a row.  Next stop CL title ,england,2
1957670561,4,Going On The London Eye Today  Wooooo Going To Take Lots Of Pictures So Add Me On Facebook To See Them When I Tweet That I'm Back Okay. ,facebook,2
1957670561,4,Going On The London Eye Today  Wooooo Going To Take Lots Of Pictures So Add Me On Facebook To See Them When I Tweet That I'm Back Okay. ,london,2
1976012690,4,@tru_artiste my dude ima have the pics up soon  prolly facebook,facebook,2
1691089560,4,@HollywoodHansM lol like how gud kobe iz!! lol and its gunn be the lakers &amp,cavs,2
1691089560,4,@HollywoodHansM lol like how gud kobe iz!! lol and its gunn be the lakers &amp,lakers,2
1978392943,4,First day of shows is done  and looking forward to Lakers v Magic finals ,lakers,2
1994653836,4,omg! well..here is the best news of all time in Brazil with McFly: http://bit.ly/zp3If  Look at this boys! ,brazil,2
1960351165,4,@spicebugsmom A few more for you to follow: @aims7 @alirushton @dillyh @Oprah @timescolonist @JohnCleese ...Welcome to Twitter mums ,twitter,2
1467822283,4,"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. ",twitter,2
1967963080,4,LAKERS FTW BABYY!! my boys did work tonight!!! ,lakers,4
1976960923,4,Anyone else love the fact that they #Lakers are not even playing tonight but #Kobe is #5 on trending topics! ,kobe,4
1976960923,4,Anyone else love the fact that they #Lakers are not even playing tonight but #Kobe is #5 on trending topics! ,lakers,4
1986945698,4,"@TayStarr awww thats my job, im like mcdonalds girl, i love to see you smile ",mcdonalds,2
1998858304,4,"@BennyDavro Honey, you're not only on the 1st page, you're within about 100 votes of Obama. Rock that grass skirt, luv. ",obama,2
2065608954,4,@tommcfly will you watch Green Day on UK this year? can't wait to see them in Brazil... Billie is trying to learn some portuguese! ,brazil,2
1834752708,0,Starbucks then schooll (: last Monday of middle school! ,starbucks,2
2016132198,0,Wishes his xbox gets error 74 nd then he can send his xbox to germany to get it fixed for free rather than 2 red lighting all the time ,xbox,2
2061283828,4,give me good songs for my ipod please ,ipod,2
2002850941,0,@hemanshujain - My facebook friends were pissed with my tweets ,facebook,2
1468038892,4,@zoecello Love the &quot,twitter,2
1556531135,4,"@jenocidal I think my iPhone was thinking the same thing because the next song was cake, I will survive.   thank you.",iphone,2
1990349229,4,Hey @daughter_4oprah! tomorrow is your mom's birthday right? tell her happy bday for me!!  tnx! is she going to be on oprah??,oprah,2
2057916905,0,....If i am going warsal that means no church in the morning if i dont go church but i think it imporant to see my nan coz she go cancer ,cancer,0
2003160052,4,on the train on the way into london to then get another train to see his bestest friend ,london,2
1976986912,0,Lebron u fucking suck!!!!!! ,lebron,0
2052262229,4,Two major blasts from the past peeps today on Twitter and Facebook. Fun. ,facebook,2
2052262229,4,Two major blasts from the past peeps today on Twitter and Facebook. Fun. ,twitter,2
1833833214,4,Best &quot,taylor_swift,4
1957530518,4,FOLLOW --&gt,cavs,2
1957530518,4,FOLLOW --&gt,twitter,2
1824179844,4,i love miley cyrus and taylor swift...theyre music always makes me feel better ,miley_cyrus,4
1824179844,4,i love miley cyrus and taylor swift...theyre music always makes me feel better ,taylor_swift,4
1557920187,4,@veldagraydon I looked for @Oprah too after she mentioned that she tweeted on twitter and found her too.  Have a glorious day. ,oprah,2
1557920187,4,@veldagraydon I looked for @Oprah too after she mentioned that she tweeted on twitter and found her too.  Have a glorious day. ,twitter,2
1984414823,4,"Home sweet home after a long day in D.C. with Bennett, I had so much fun! I saw the original Obama &quot",obama,2
2068477071,4,"@jaspreetgill http://twitpic.com/6ubr9 - woooho! they get better and better! I'm watching ur videos on YouTube right now  haha, as I'v ...",youtube,2
1970445208,4,another gorgeous day. ah see england isnt always that bad..... ,england,4
2014621536,4,"@Wossy Oh, that is so close to being a dream lineup for me. Will watch it if/when it finally shows in Msia. If not, youtube! ",youtube,2
2065816707,4,love all the drunk pics on facebook of me ,facebook,2
2052807447,4,playing and singing some taylor swift on piano. she writes realli beautiful songs ,taylor_swift,4
1467972810,4,hanging out with Emily. I love her. She's wonderful. ,emily,4
1994183649,4,@Jeremeyxvx you know you broke edge in vegas  happy 8th year brahhh,vegas,2
1977703716,4,@AlexAllTimeLow Sydney Aquarium is the best place in the world  When youre done walk over the bridge and go to the mall (YYY),sydney,4
1977703716,4,@AlexAllTimeLow Sydney Aquarium is the best place in the world  When youre done walk over the bridge and go to the mall (YYY),sydney_aquarium,4
1977703716,4,@AlexAllTimeLow Sydney Aquarium is the best place in the world  When youre done walk over the bridge and go to the mall (YYY),yyy,4
1687763084,4,@tiranw thats bc u love the CAVS  LOL *WINK WINK,cavs,4
2071947594,4,Whoo lakers won!! Now I can breathe haha ,lakers,4
2071326863,4,@csquaredsmiles TWATLIGHT loool.. I know.. now they relate rain to it.. haha thats why i wanna move to england is always cold! ,england,4
1978082061,4,"gosh, i love taylor swift  in the least creepiest way, well",taylor_swift,4
1972193105,4,@_Chelsea_Marie does target ship things to london? thanks so much! im such a demi fan shes amazing! ,london,2
1955881910,0,Oh nooo Demi in Seattle two days after we leave ,seattle,2
2062615979,4,@ddlovato I HAVE A SURPRISE FOR YOU WHEN U COME TO LONDON  cnt wait to seeya ! &lt,london,2
1823969546,4,"i think all musicians should release instrumental versions of their previous albums, like taylor swift did. i love instrumental versions! ",taylor_swift,4
1554518532,0,I hope since @oprah is friends with @ev she doesn't make a call to get me destroyed  #herebeforeoprah,oprah,2
2001350611,0,damn it 150 on xbox . . . but lets see how much it really costs in vegas ,vegas,2
2001350611,0,damn it 150 on xbox . . . but lets see how much it really costs in vegas ,xbox,2
1565434119,0,"at work, ready to start my day...I miss my babies already. What am I going to do without them for 6 days while I'm in Vegas? ",vegas,2
2015302631,0,JTH and CR dropped from the England team. ,england,2
1975317482,0,Southend Tommorow Supporting People At The Race For Life Marathon. My Cousin &amp,cancer,0
1975317482,0,Southend Tommorow Supporting People At The Race For Life Marathon. My Cousin &amp,lung_cancer,0
2052352736,4,@Alex_Jeffreys Welcome back. Emailed you earlier this morning with some stuff. We'll speak real soon. What a time in Vegas we all had ,vegas,2
1556588646,4,you guys should check out fred on youtube hes our favorite youtube star ,youtube,2
2067069136,4,On the bus and ready to go  about to watch twilight on Meredith's ipod.,ipod,2
2061652623,4,wants the new psp. It's SOOOOO COOL!! ,psp,4
1467918533,4,"Amazing night in Dallas with my Advanced TV Production class  Happy Birhtday, Sam!!",dallas,4
1467918533,4,"Amazing night in Dallas with my Advanced TV Production class  Happy Birhtday, Sam!!",sam,4
2053519678,4,The Best Day - Taylor Swift ,taylor_swift,4
1976869280,4,--plotting like i'm mike..'game plan:pass the ball to lebron AT ALL TIMES and DONT FOUL'..certainly we'll win  haha..go cavs goooo!,cavs,4
1976869280,4,--plotting like i'm mike..'game plan:pass the ball to lebron AT ALL TIMES and DONT FOUL'..certainly we'll win  haha..go cavs goooo!,lebron,4
1977881484,0,"Cancer sucks, and the worst part is seeing what the chemo side effects are on my little girl ",cancer,0
1967954696,0,"obama, why are images of rape at abu ghraib &quot",obama,0
1978360280,0,"@mattmacdonaldis epic loss  I was disappointed in LeBron, he just couldn't sink anything in the second half.",lebron,0
1760209183,0,sorry. something's getting my facebook stuff and tweeting it. ,facebook,2
